object,attributes,parents,children,srcOneToRelation,srcManyToRelation,dstToManyRelation,numCorrespondingTables,mappingStrategy,parentMappingStrategy,associations,paretoOptimal
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Revision,2,0,0,0,0,2,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Revision,2,0,0,0,0,2,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Background,2,0,0,1,0,0,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,13,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Revision,2,0,0,0,0,2,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Document,2,0,0,1,0,2,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Document,2,0,0,1,0,2,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Document,2,0,0,1,0,2,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Revision,2,0,0,0,0,2,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Document,2,0,0,1,0,2,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Category,2,0,0,1,0,3,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,13,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Document,2,0,0,1,0,2,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Document,2,0,0,1,0,2,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Revision,2,0,0,0,0,2,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Revision,2,0,0,0,0,2,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Document,2,0,0,1,0,2,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,13,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Revision,2,0,0,0,0,2,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,13,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,13,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Document,2,0,0,1,0,2,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Category,2,0,0,1,0,3,13,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Revision,2,0,0,0,0,2,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Revision,2,0,0,0,0,2,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Category,2,0,0,1,0,3,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Document,2,0,0,1,0,2,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Document,2,0,0,1,0,2,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Document,2,0,0,1,0,2,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Revision,2,0,0,0,0,2,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Document,2,0,0,1,0,2,13,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Category,2,0,0,1,0,3,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Category,2,0,0,1,0,3,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Revision,2,0,0,0,0,2,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,13,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,13,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Document,2,0,0,1,0,2,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,13,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Category,2,0,0,1,0,3,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Document,2,0,0,1,0,2,13,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,13,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Document,2,0,0,1,0,2,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Revision,2,0,0,0,0,2,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Group,2,0,0,1,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Revision,2,0,0,0,0,2,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Category,2,0,0,1,0,3,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Category,2,0,0,1,0,3,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Document,2,0,0,1,0,2,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Background,2,0,0,1,0,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Group,2,0,0,1,1,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
User,2,0,0,3,0,1,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
