object,attributes,parents,children,srcOneToRelation,srcManyToRelation,dstToManyRelation,numCorrespondingTables,mappingStrategy,parentMappingStrategy,associations,paretoOptimal
Bank,3,0,0,2,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Savings,1,1,0,0,0,0,10,UnionSubclassStrategy,UnionSubclassStrategy,none,0
Teller,2,0,0,0,0,2,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Checking,1,1,0,0,0,0,10,UnionSubclassStrategy,UnionSubclassStrategy,none,0
Customer,5,0,0,2,1,1,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Bank,3,0,0,2,0,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Teller,2,0,0,0,0,2,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Loan,2,0,0,0,0,1,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Bank,3,0,0,2,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Loan,2,0,0,0,0,1,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Teller,2,0,0,0,0,2,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Bank,3,0,0,2,0,0,8,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy,1
Bank,3,0,0,2,0,0,9,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Customer,5,0,0,2,1,1,9,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Account,2,0,1,0,0,1,9,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Checking,1,1,0,0,0,0,9,UnionSubclassStrategy,UnionSubclassStrategy,none,1
Savings,1,1,0,0,0,0,9,UnionSubclassStrategy,UnionSubclassStrategy,none,1
Bank,3,0,0,2,0,0,9,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy,1
Savings,1,1,0,0,0,0,9,UnionSubclassStrategy,UnionSubclassStrategy,none,1
Bank,3,0,0,2,0,0,9,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy,1
Checking,1,1,0,0,0,0,9,UnionSubclassStrategy,UnionSubclassStrategy,none,1
Account,2,0,1,0,0,1,9,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Loan,2,0,0,0,0,1,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Customer,5,0,0,2,1,1,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Bank,3,0,0,2,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Bank,3,0,0,2,0,0,9,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
Customer,5,0,0,2,1,1,9,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Bank,3,0,0,2,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,0
Loan,2,0,0,0,0,1,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Customer,5,0,0,2,1,1,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Savings,1,1,0,0,0,0,10,UnionSubclassStrategy,UnionSubclassStrategy,none,1
Loan,2,0,0,0,0,1,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Checking,1,1,0,0,0,0,10,UnionSubclassStrategy,UnionSubclassStrategy,none,1
Account,2,0,1,0,0,1,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Bank,3,0,0,2,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy,1
Bank,3,0,0,2,0,0,9,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy,1
Loan,2,0,0,0,0,1,9,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Bank,3,0,0,2,0,0,8,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy,1
